x_center,y_center,lat_center,lon_center,elevation
473425.01,4427475.16,39.997040605764376,-105.31131576153125,2064.88514925373
473475.01,4427475.16,39.997042177552146,-105.31073003894517,2070.1659608597943
473525.01,4427475.16,39.99704374637999,-105.31014431631313,2070.0418356617165
473575.01,4427475.16,39.99704531224789,-105.30955859363522,2063.894001813508
473625.01,4427475.16,39.99704687515585,-105.3089728709115,2059.1484710743825
473675.01,4427475.16,39.99704843510389,-105.30838714814209,2049.127260261366
473725.01,4427475.16,39.99704999209199,-105.30780142532706,2035.166341529075
473775.01,4427475.16,39.99705154612015,-105.3072157024665,2029.9910870147364
473825.01,4427475.16,39.99705309718838,-105.3066299795605,2034.9313095517416
473875.01,4427475.16,39.99705464529667,-105.30604425660913,2040.1954735526908
473925.01,4427475.16,39.99705619044501,-105.30545853361251,2030.2342738766474
473975.01,4427475.16,39.99705773263343,-105.30487281057067,2021.9351138018867
474025.01,4427475.16,39.9970592718619,-105.30428708748376,2017.1393910730135
474075.01,4427475.16,39.99706080813043,-105.30370136435184,2001.6991008356665
474125.01,4427475.16,39.99706234143902,-105.30311564117498,1972.064415622702
474175.01,4427475.16,39.99706387178767,-105.3025299179533,1937.6041716743985
474225.01,4427475.16,39.99706539917638,-105.30194419468684,1913.9537930118292
474275.01,4427475.16,39.99706692360514,-105.30135847137574,1917.673355019241
474325.01,4427475.16,39.99706844507396,-105.30077274802007,1911.2450398945941
474375.01,4427475.16,39.997069963582845,-105.30018702461989,1906.2050040018244
474425.01,4427475.16,39.997071479131776,-105.2996013011753,1900.3135412357742
474475.01,4427475.16,39.997072991720756,-105.2990155776864,1891.8270178335601
474525.01,4427475.16,39.9970745013498,-105.29842985415327,1890.0670699841016
474575.01,4427475.16,39.99707600801889,-105.297844130576,1871.8573789111629
474625.01,4427475.16,39.99707751172804,-105.29725840695467,1849.5700235928439
474675.01,4427475.16,39.997079012477236,-105.29667268328936,1840.617677232046
474725.01,4427475.16,39.99708051026648,-105.29608695958018,1838.323509939615
474775.01,4427475.16,39.997082005095784,-105.29550123582719,1829.6291329671303
474825.01,4427475.16,39.99708349696513,-105.29491551203049,1815.237654580485
474875.01,4427475.16,39.99708498587453,-105.29432978819015,1803.0139608829884
474925.01,4427475.16,39.99708647182398,-105.2937440643063,1794.4143677453742
474975.01,4427475.16,39.99708795481347,-105.29315834037898,1790.2162842892817
475025.01,4427475.16,39.99708943484301,-105.2925726164083,1791.9821701487906
475075.01,4427475.16,39.9970909119126,-105.29198689239433,1789.8981723284892
475125.01,4427475.16,39.997092386022246,-105.29140116833719,1793.1441731106609
475175.01,4427475.16,39.99709385717192,-105.29081544423693,1790.8890092933468
475225.01,4427475.16,39.99709532536165,-105.29022972009366,1800.908009856844
475275.01,4427475.16,39.997096790591414,-105.28964399590745,1816.6910948905056
475325.01,4427475.16,39.99709825286123,-105.2890582716784,1813.404244154727
475375.01,4427475.16,39.99709971217108,-105.2884725474066,1811.3339191953662
475425.01,4427475.16,39.99710116852098,-105.28788682309211,1800.8657029940134
475475.01,4427475.16,39.99710262191092,-105.28730109873504,1792.0978490832144
475525.01,4427475.16,39.9971040723409,-105.28671537433549,1786.434
473425.01,4427525.16,39.99749108945969,-105.3113178071297,2049.31582962709
473475.01,4427525.16,39.997492661272396,-105.31073208069509,2051.316575212864
473525.01,4427525.16,39.99749423012512,-105.31014635421452,2055.1639508366625
473575.01,4427525.16,39.997495796017866,-105.30956062768809,2056.4235976789187
473625.01,4427525.16,39.997497358950625,-105.30897490111585,2062.6752852458917
473675.01,4427525.16,39.997498918923405,-105.3083891744979,2052.2088782120563
473725.01,4427525.16,39.99750047593621,-105.30780344783436,2043.2912856208588
473775.01,4427525.16,39.99750202998902,-105.30721772112526,2037.4062569451094
473825.01,4427525.16,39.997503581081865,-105.30663199437072,2027.372113010452
473875.01,4427525.16,39.9975051292147,-105.30604626757082,2034.5932695126423
473925.01,4427525.16,39.99750667438756,-105.30546054072566,2036.7227930297609
473975.01,4427525.16,39.997508216600444,-105.3048748138353,2040.94281373956
474025.01,4427525.16,39.997509755853336,-105.30428908689984,2032.106328769873
474075.01,4427525.16,39.997511292146235,-105.30370335991938,1995.204875322442
474125.01,4427525.16,39.99751282547915,-105.30311763289399,1961.4857502203013
474175.01,4427525.16,39.99751435585208,-105.30253190582376,1937.9616010627126
474225.01,4427525.16,39.99751588326501,-105.30194617870877,1914.0872110726627
474275.01,4427525.16,39.99751740771796,-105.30136045154912,1896.2318367705088
474325.01,4427525.16,39.99751892921091,-105.3007747243449,1889.8160512291643
474375.01,4427525.16,39.99752044774389,-105.30018899709617,1879.7542546453994
474425.01,4427525.16,39.997521963316856,-105.29960326980306,1869.9325155479303
