u,v,key,oneway,length,ref,bridge,junction,tunnel,area,geometry
176400027,2498605179,0,True,22.187,,,,,,"LINESTRING (475929.9189045861 4428760.0978938015, 475952.15215824643 4428759.972073097)"
176400027,4562919351,0,False,77.17,,,,,,"LINESTRING (475929.9189045861 4428760.0978938015, 475929.96452979045 4428785.303972564, 475929.7615240592 4428837.126659443)"
176400027,4955979213,0,False,145.863,,,,,,"LINESTRING (475929.9189045861 4428760.0978938015, 475930.1265000357 4428618.016734785, 475930.3458486079 4428614.50870271)"
176408599,3813014114,0,True,7.493,CO 119,,,,,"LINESTRING (475141.0414086656 4429398.330097087, 475148.30178428354 4429400.237626831)"
176408599,176408601,0,False,12.148,,,,,,"LINESTRING (475141.0414086656 4429398.330097087, 475138.2722307758 4429410.137592387)"
176408601,5536513377,0,False,32.44,,,,,,"LINESTRING (475138.2722307758 4429410.137592387, 475130.13064545137 4429441.486139048)"
176408601,5536513381,0,True,70.949,CO 119,,,,,"LINESTRING (475138.2722307758 4429410.137592387, 475069.5207221851 4429392.093396313)"
176408601,176408599,0,False,12.148,,,,,,"LINESTRING (475138.2722307758 4429410.137592387, 475141.0414086656 4429398.330097087)"
176408603,8238681190,0,False,9.675,,,,,,"LINESTRING (475109.04537117796 4429515.353673091, 475111.81428442104 4429506.098980384)"
176408603,2704268803,0,False,36.868,,,,,,"LINESTRING (475109.04537117796 4429515.353673091, 475073.2573074752 4429506.214169873)"
176408603,2454798685,0,True,95.18199999999999,,,,,,"LINESTRING (475109.04537117796 4429515.353673091, 475125.4507797012 4429516.1990271695, 475193.3726878625 4429534.0799407875, 475202.0618978047 4429534.528865655)"
176413045,487271983,0,False,89.808,,,,,,"LINESTRING (475877.3549879376 4427757.0219688, 475880.3604313182 4427754.5595273385, 475881.57717895746 4427753.323663973, 475884.0010136716 4427750.496795457, 475885.0040097825 4427749.150618588, 475885.92094231694 4427747.582731488, 475888.0165769406 4427743.54709644, 475889.91553293547 4427739.401093671, 475892.2863911789 4427733.322343082, 475893.0383991241 4427730.889245296, 475893.57915100997 4427729.133865413, 475893.8569026963 4427727.889879978, 475894.14986293466 4427726.057591115, 475894.7426321094 4427721.86023227, 475897.3438937959 4427699.587085762, 475899.3058546384 4427682.987634135, 475900.5196803953 4427672.739269536)"
