x_center,y_center,lat_center,lon_center,elevation
473430.01,4427460.16,39.99690561796013,-105.31125657571961,2068.0176666666675
473450.01,4427460.16,39.99690624690905,-105.31102228715068,2074.4700721500726
473470.01,4427460.16,39.99690687538437,-105.31078799857438,2072.1830810234555
473490.01,4427460.16,39.9969075033861,-105.31055370999073,2074.02385601578
473510.01,4427460.16,39.99690813091426,-105.31031942139974,2075.211223175968
473530.01,4427460.16,39.99690875796881,-105.31008513280138,2073.248780068728
473550.01,4427460.16,39.99690938454979,-105.30985084419571,2067.848351431393
473570.01,4427460.16,39.99691001065717,-105.30961655558268,2065.1990346083803
473590.01,4427460.16,39.99691063629098,-105.30938226696234,2062.3665868263474
473610.01,4427460.16,39.99691126145119,-105.30914797833466,2059.693397282172
473630.01,4427460.16,39.99691188613781,-105.30891368969968,2058.935571266967
473650.01,4427460.16,39.996912510350846,-105.30867940105739,2056.5954399999964
473670.01,4427460.16,39.9969131340903,-105.30844511240778,2049.9062601626033
473690.01,4427460.16,39.99691375735616,-105.30821082375088,2045.0633650642528
473710.01,4427460.16,39.99691438014844,-105.30797653508668,2037.1296440129431
473730.01,4427460.16,39.99691500246712,-105.3077422464152,2029.5348591065297
473750.01,4427460.16,39.99691562431223,-105.30750795773643,2032.0843432757738
473770.01,4427460.16,39.99691624568374,-105.30727366905039,2031.0833978970684
473790.01,4427460.16,39.99691686658167,-105.30703938035707,2032.9527172347548
473810.01,4427460.16,39.996917487006,-105.30680509165647,2036.5164080459792
473830.01,4427460.16,39.99691810695676,-105.30657080294864,2039.4855876777228
473850.01,4427460.16,39.99691872643391,-105.30633651423352,2042.701212121214
473870.01,4427460.16,39.99691934543748,-105.30610222551117,2043.7779454342942
473890.01,4427460.16,39.99691996396748,-105.30586793678158,2041.8793533749272
473910.01,4427460.16,39.99692058202387,-105.30563364804475,2032.6921503388792
473930.01,4427460.16,39.99692119960668,-105.30539935930068,2025.0286222222248
473950.01,4427460.16,39.99692181671591,-105.30516507054936,2019.682761724302
473970.01,4427460.16,39.99692243335154,-105.30493078179084,2014.737042086545
473990.01,4427460.16,39.9969230495136,-105.3046964930251,2012.5542484039438
474010.01,4427460.16,39.996923665202054,-105.30446220425216,2010.6149939540512
474030.01,4427460.16,39.99692428041692,-105.304227915472,2009.5561863846688
474050.01,4427460.16,39.996924895158195,-105.30399362668464,2006.7326727509778
474070.01,4427460.16,39.99692550942589,-105.30375933789009,2001.4026261127592
474090.01,4427460.16,39.99692612321999,-105.30352504908835,1990.7829011857705
474110.01,4427460.16,39.99692673654052,-105.30329076027942,1980.614615800866
474130.01,4427460.16,39.99692734938744,-105.30305647146332,1968.9435769428696
474150.01,4427460.16,39.9969279617608,-105.30282218264004,1953.8466427473131
